"AX","M","Z","E","J","Thalf","Eγ.keV.","λ","TF","Key"
"165DY",165,66,108.1552,"1/2","1.257(6) min","108.160(3)","E3",TRUE,"108.1552;1/2;1.257(6) min"
"165HO",165,67,361.675,"3/2+","1.512(4) μs","266.80(15)
361.68(2)","M2+E3",TRUE,"361.675;3/2+;1.512(4) μs"
"165ER",165,68,551.3,"11/2","0.25(3) μs","314.8
375
383.7
473.7",NA,TRUE,"551.3;11/2;0.25(3) μs"
"165ER",165,68,1823,"(19/2)","0.37(4) μs","317.0(1)
1050.6(1)
1144.6(1)",NA,TRUE,"1823;(19/2);0.37(4) μs"
"165TM",165,69,80.37,"7/2+","80(3) μs","68.86(5)","E2",TRUE,"80.37;7/2+;80(3) μs"
"165TM",165,69,160.47,"7/2","9.0(5) μs","30.80(10)
80.11(2)","E1
E1+M2",TRUE,"160.47;7/2;9.0(5) μs"
"165YB",165,70,126.8,"9/2+","300(30) ns","39.23(8)","E1",TRUE,"126.8;9/2+;300(30) ns"
"165RE",165,75,48,"(11/2)","1.740(60) s",NA,NA,TRUE,"48;(11/2);1.740(60) s"
"166GD",166,64,1601.5,"(6)","950(60) ns","146.3(2)
183.1(2)","(E1)
(E1)",TRUE,"1601.5;(6);950(60) ns"
"166HO",166,67,5.969,"7","1132.6 (39) y",NA,NA,TRUE,"5.969;7;1132.6 (39) y"
"166HO",166,67,190.9021,"3+","185(15) μs","10.43(2)
19.840(6)
136.662(2)","E1
E1",TRUE,"190.9021;3+;185(15) μs"
"166LU",166,71,34.37,"3()","1.41(10) min","34.37(22)","(M3)",TRUE,"34.37;3();1.41(10) min"
"166LU",166,71,43,"0","2.12(10) min",NA,NA,TRUE,"43;0;2.12(10) min"
"166LU",166,71,83.5,"(5,6,
7)+","92(7) ns","83.5(1)","E1",TRUE,"83.5;(5,6,
7)+;92(7) ns"
"166IR",166,77,172,"(9+)","15.1(9) ms",NA,NA,TRUE,"172;(9+);15.1(9) ms"
"167HO",167,67,259.34,"3/2+","6.0(10) μs","259.33(13)","M2",TRUE,"259.34;3/2+;6.0(10) μs"
"167ER",167,68,207.801,"1/2","2.269(6) s","207.801(5)","E3",TRUE,"207.801;1/2;2.269(6) s"
"167TM",167,69,179.48,"(7/2)+","1.16(6) μs","37.05(2)
62.91(1)
169.04(3)","M1+E2
M1+E2
E2",TRUE,"179.48;(7/2)+;1.16(6) μs"
"167TM",167,69,292.82,"7/2","0.9(1) μs","6.93(4)?
105.19(2)
113.34(1)
150.40(3)
176.25(2)","M1
E1
E1
E1",TRUE,"292.82;7/2;0.9(1) μs"
"167YB",167,70,188.754,"1/2","~ 23 ns","188.66(4)","E2",TRUE,"188.754;1/2;~ 23 ns"
"167YB",167,70,571.548,"(11/2)","~ 180 ns","151.960(17)
160.490(17)
254.0(2)
270.00(9)
385.55(11)
392.61(9)
445.56(12)
513.10(10)","M1(+E2)
(E1)
M1+E2
E1(+M2)
(E1)",TRUE,"571.548;(11/2);~ 180 ns"
"167OS",167,76,435.1,"13/2+","672(7) ns","348","M2",TRUE,"435.1;13/2+;672(7) ns"
"167IR",167,77,175.3,"11/2","30.0(6) ms",NA,NA,TRUE,"175.3;11/2;30.0(6) ms"
"168HO",168,67,143.43,"(1)","> 4 μs","143.5(2)","M2",TRUE,"143.43;(1);> 4 μs"
"168HO",168,67,192.57,"1+","108(11) ns","192.5(2)","E2",TRUE,"192.57;1+;108(11) ns"
"168ER",168,68,1094.0383,"4","109.0(7) ns","99.289(2)
198.241(1)
272.876(2)
829.958(7)
1014.11(4)","E1+M2
E1+M2
M2
E1+M2
M2+E3",TRUE,"1094.0383;4;109.0(7) ns"
"168YB",168,70,1998.74,"(5)","82(5) ns","156.6(2)
179.6(2)
228.6(2)
324.7(2)
348.3(2)
401.1(3)
1413.5(3)
1712.0(5)","M1
(E1)
(M1)
(E1+M2)
E2
M1",TRUE,"1998.74;(5);82(5) ns"
"168YB",168,70,2222.37,"()","62(8) ns","111.4
223.59(19)",NA,TRUE,"2222.37;();62(8) ns"
"168LU",168,71,202.81,"3+","6.7(4) min","202.81(12)?",NA,TRUE,"202.81;3+;6.7(4) min"
"169HO",169,67,1386.2,"(19/2+)","118(6) μs","483.6
685.4
867.3",NA,TRUE,"1386.2;(19/2+);118(6) μs"
"169ER",169,68,92.05,"(5/2)","285(20) ns","17.46(12)?
27.6(2)",NA,TRUE,"92.05;(5/2);285(20) ns"
"169ER",169,68,243.69,"7/2+","200(10) ns","67.3(3)
151.5(2)","E1
E1",TRUE,"243.69;7/2+;200(10) ns"
"169TM",169,69,316.14633,"7/2+","659.9(23) ns","177.21307(6)
197.95675(7)
307.73586
(10)","M1+E2
M1+E2
E2",TRUE,"316.14633;7/2+;659.9(23) ns"
"169TM",169,69,379.26678,"7/2","52.2(8) ns","63.12044(4)
240.331(3)
261.07712(9)
370.854(8)
379.284(18)","E1
E1(+M2)
E1+M2",TRUE,"379.26678;7/2;52.2(8) ns"
"169YB",169,70,24.1999,"1/2","46(2) s","24.20(2)","E3",TRUE,"24.1999;1/2;46(2) s"
"169LU",169,71,29,"1/2","160(10) s","29.0(5)","E3",TRUE,"29;1/2;160(10) s"
"169HF",169,72,28.8,"(7/2)+","82(+4015) ns","28.80(4)","E1",TRUE,"28.8;(7/2)+;82(+4015) ns"
"169TA",169,73,180.1,"(5/2+)","17(4) ns","152.6(2)
168.7(2)",NA,TRUE,"180.1;(5/2+);17(4) ns"
"169TA",169,73,219.72,"(9/2)","28(5) ns","123.0(2)","E1",TRUE,"219.72;(9/2);28(5) ns"
"169IR",169,77,153,"(11/2)","0.281(4) s",NA,NA,TRUE,"153;(11/2);0.281(4) s"
"170HO",170,67,120,"(1+)","43(2) s",NA,NA,TRUE,"120;(1+);43(2) s"
"170ER",170,68,1268.69,"(4)","42 ns","51.30(10)
141.50(9)
165.33(4)
258.136(20)
1008.3(3)","E1

(E1)",TRUE,"1268.69;(4);42 ns"
"170TM",170,69,183.197,"(3)+","4.12(13) μs","68.6491(4)
144.4797(5)","E1
E1",TRUE,"183.197;(3)+;4.12(13) μs"
"170YB",170,70,1258.46,"4","370(15) ns","981.1(2)","E1",TRUE,"1258.46;4;370(15) ns"
"170LU",170,71,92.91,"(4)","0.67(10) s","48.42(10)","M2",TRUE,"92.91;(4);0.67(10) s"
"170HF",170,72,2183.8,"(8)","23(2) ns","216.6(1)","(E1)",TRUE,"2183.8;(8);23(2) ns"
"170AU",170,79,275,"(9+)","0.617(+5040) ms",NA,NA,TRUE,"275;(9+);0.617(+5040) ms"
"171ER",171,68,198.6,"1/2","210(10) ns","198.6(1)","E2",TRUE,"198.6;1/2;210(10) ns"
"171TM",171,69,424.956,"7/2","2.60(2) μs","295.9010(12)
308.2996(16)
419.9(3)
424.9(5)","E1
E1
M2
E3",TRUE,"424.956;7/2;2.60(2) μs"
"171TM",171,69,1674.5,"19/2+","1.7(2) μs","219.2(1)
428.0(1)
558.1(3)","E2",TRUE,"1674.5;19/2+;1.7(2) μs"
"171YB",171,70,95.282,"7/2+","5.25(24) ms","19.394(2)","E1",TRUE,"95.282;7/2+;5.25(24) ms"
"171YB",171,70,122.416,"5/2","265(20) ns","27.133(1)
46.543(5)
55.689(2)
122.37(5)","E1
M1+E2
M1+E2",TRUE,"122.416;5/2;265(20) ns"
"171LU",171,71,71.13,"1/2","79(2) s","71.10(9)","E3",TRUE,"71.13;1/2;79(2) s"
"171LU",171,71,208.15,"(1/2)+","29.7(11) ns","137.01(3)","E1",TRUE,"208.15;(1/2)+;29.7(11) ns"
"171HF",171,72,21.93,"1/2","29.5(9) s","21.93(9)?",NA,TRUE,"21.93;1/2;29.5(9) s"
"171HF",171,72,49.57,"5/2","64(4) ns","49.6(1)","(E1)",TRUE,"49.57;5/2;64(4) ns"
"171HF",171,72,1984.8,"23/2","18(2) ns","190.6(2)","E1",TRUE,"1984.8;23/2;18(2) ns"
"171TA",171,73,236.29,"(9/2)","46(3) ns","53.1(3)
184.2(2)
236.3(3)","E1
E1",TRUE,"236.29;(9/2);46(3) ns"
"171PT",171,78,412.6,"(13/2+)","901(9) ns","323.1(6)","M2",TRUE,"412.6;(13/2+);901(9) ns"
"171AU",171,79,250,"(11/2)","1.014(19) ms",NA,NA,TRUE,"250;(11/2);1.014(19) ms"
"172ER",172,68,1263.5,"(4)","39.5(21) ns","229.1(2)
1008.3(2)",NA,TRUE,"1263.5;(4);39.5(21) ns"
"172ER",172,68,1500.9,"(6+)","0.57(6) μs","133.6(2)
249.6(2)
369.7(2)
970.5(2)","E1",TRUE,"1500.9;(6+);0.57(6) μs"
"172TM",172,69,476.2,"6+","132(7) μs","34.6(3)
101.8(1)
226.3(2)","E1
E1
E1",TRUE,"476.2;6+;132(7) μs"
"172YB",172,70,1550.43,"6","3.6(1) μs","174.7(10)
197.6(3)
1010.45(6)","(E1)
E1+M2",TRUE,"1550.43;6;3.6(1) μs"
"172LU",172,71,41.86,"1","3.7(5) min","41.86(4)","M3",TRUE,"41.86;1;3.7(5) min"
"172LU",172,71,65.79,"(1)+","0.332(20) μs","23.9331(2)","E1",TRUE,"65.79;(1)+;0.332(20) μs"
"172LU",172,71,109.41,"(1)+","440(12) μs","67.35(10)","E1",TRUE,"109.41;(1)+;440(12) μs"
"172LU",172,71,213.57,"(6)","150 ns","102.5(2)
213.5(2)",NA,TRUE,"213.57;(6);150 ns"
"172HF",172,72,2005.84,"(8)","163(3) ns","127.67(10)
149.4
278.2
321.0
408.4","(E1)",TRUE,"2005.84;(8);163(3) ns"
"172IR",172,77,139,"(7+)","2.0(1) s",NA,NA,TRUE,"139;(7+);2.0(1) s"
"173TM",173,69,317.73,"7/2","10.4(21) μs","192.8(2)
199.2(2)
315.2","(E1)
(E1)",TRUE,"317.73;7/2;10.4(21) μs"
"173TM",173,69,1905.7,"19/2","250(69) ns","43.4(6)
124(1)
154.3(2)
214.3(4)","M1
E2
E1
E2",TRUE,"1905.7;19/2;250(69) ns"
"173TM",173,69,2061.1,"21/2+","15.2(55) ns","155.4(1)","E1",TRUE,"2061.1;21/2+;15.2(55) ns"
"173TM",173,69,4047.9,"35/2","121(28) ns","412(1)
655(1)
703.5(1)","M1
E1
E2",TRUE,"4047.9;35/2;121(28) ns"
"173YB",173,70,398.9,"1/2","2.9(1) μs","398.9(6)","E2",TRUE,"398.9;1/2;2.9(1) μs"
"173LU",173,71,123.672,"5/2","74.2(10) μs","123.672(13)","E1",TRUE,"123.672;5/2;74.2(10) μs"
"173HF",173,72,107.16,"5/2","180(8) ns","25.70(5)
37.40(5)
107.2(2)","M1
M1+E2
(E2)",TRUE,"107.16;5/2;180(8) ns"
"173HF",173,72,197.47,"7/2+","160(40) ns","90.3(1)","E1",TRUE,"197.47;7/2+;160(40) ns"
"173HF",173,72,1982.1,"(23/2)","19.5(6) ns","164.8(3)","E1",TRUE,"1982.1;(23/2);19.5(6) ns"
"173TA",173,73,173.1,"9/2","225(15) ns","35.4(10)
63.00(10)
166.00(10)","E1+M2
(M2)",TRUE,"173.1;9/2;225(15) ns"
"173TA",173,73,198.16,"3/2(+)","13.5(58) ns","174.21(10)
196.61(10)",NA,TRUE,"198.16;3/2(+);13.5(58) ns"
"173TA",173,73,1719.4,"21/2","132(3) ns","355.8
608.6
840","E2",TRUE,"1719.4;21/2;132(3) ns"
"173W",173,74,85.37,"(7/2)+","14(4) ns","85.37(10)","E1",TRUE,"85.37;(7/2)+;14(4) ns"
"173W",173,74,148,"1/2","1.31(15) μs","148.0 (5)",NA,TRUE,"148;1/2;1.31(15) μs"
"173OS",173,76,141.2,"(9/2+)","> 28 ns","49.6(2)","E1",TRUE,"141.2;(9/2+);> 28 ns"
"173IR",173,77,226,"(11/2)","2.20(5) s",NA,NA,TRUE,"226;(11/2);2.20(5) s"
"173AU",173,79,214,"(11/2)","12.2(1) ms",NA,NA,TRUE,"214;(11/2);12.2(1) ms"
"174ER",174,68,1111.5,"8","4.02(35) s","162.9
551?","E1",TRUE,"1111.5;8;4.02(35) s"
"174TM",174,69,191.5,"(4+)","15.2(21) ns","91.2(6)
191.5(2)","E1
E1",TRUE,"191.5;(4+);15.2(21) ns"
"174TM",174,69,252.4,"0+","2.29(1) s","152.1","E3",TRUE,"252.4;0+;2.29(1) s"
"174TM",174,69,496.7,"(7+)","10.4(14) ns","90.5(5)","M1",TRUE,"496.7;(7+);10.4(14) ns"
"174TM",174,69,2091.7,"14","106.1(69) μs","37(1)
39(1)?
145(1)
168.1(3)
298.3(2)
397.7(3)
401.3(2)
440.0(5)
637.1(4)","E1
E2
M1
M2
M2
M1
M1
E3
E2",TRUE,"2091.7;14;106.1(69) μs"
"174YB",174,70,1518.148,"6+","830(40) μs","628.37(4)
992.128(13)
1265.18(10)","(M1+E2)",TRUE,"1518.148;6+;830(40) μs"
"174YB",174,70,1765.2,"7","256(11) ns","193
247.1
875.5
1239.2","E2
E1
E1+M2
E1+M2",TRUE,"1765.2;7;256(11) ns"
"174YB",174,70,3698.8,"14+","55(4) ns","409.6
695.6
785.5
964.1","M1+E2
M1+E2
E1
E2",TRUE,"3698.8;14+;55(4) ns"
"174YB",174,70,6146.6,"(22,23)","28.4(14) ns","172.5?
417.3?",NA,TRUE,"6146.6;(22,23);28.4(14) ns"
"174LU",174,71,170.83,"6","142(2) d","59.08(2)
126.2","M3",TRUE,"170.83;6;142(2) d"
"174LU",174,71,240.818,"(3+)","395(15) ns","129.065(2)
196.112(10)","(E1)
(E1)",TRUE,"240.818;(3+);395(15) ns"
"174LU",174,71,365.183,"(4)","145(3) ns","105.654(9)
124.360(8)
164.885(10)
253.435(10)","(E1)
(E1)
(M1,E2)
(M1,E2)",TRUE,"365.183;(4);145(3) ns"
"174LU",174,71,1855.7,"13+","194(24) ns","267.4(3)
373.3(3)
427.1(3)
484.8(3)
608.1(3)
821.6(3)","M1
M1
E2
E1
M1
E2",TRUE,"1855.7;13+;194(24) ns"
"174LU",174,71,2062.5,"14","38(4) ns","206.8(3)","E1",TRUE,"2062.5;14;38(4) ns"
"174LU",174,71,4068.6,"(21+)","97(10) ns","328.1(3)","E2",TRUE,"4068.6;(21+);97(10) ns"
"174LU",174,71,5849.6,"(26)","242(19) ns","299.2(3)
432.7(3)","E1
E2",TRUE,"5849.6;(26);242(19) ns"
"174HF",174,72,1549.3,"(6+)","138(4) ns","100.10(22)
154.71(13)
241.97(19)
486.61(25)
539.67(25)
941.02(5)
1251.81(7)",NA,TRUE,"1549.3;(6+);138(4) ns"
"174HF",174,72,1797.5,"(8)","2.39(4) μs","60.18(13)
248.3(5)
788.0(12)",NA,TRUE,"1797.5;(8);2.39(4) μs"
"174HF",174,72,3311.7,"(14+)","3.7(2) μs","10.3(10)
11.87(25)
15.7(7)
31.9(5)
42.69(14)
54(5)
82.0(3)
132.4(14)
155.09(16)
194.8(12)
221.97(22)
318.8(3)
328.36(5)
339.7(5)
379.38(12)
457.70(14)
539.3(6)
627.22(14)
714.2(3)
822.70(15)
1291.32(24)",NA,TRUE,"3311.7;(14+);3.7(2) μs"
"174W",174,74,1672,NA,"≥ 187 ns","965.3(7)",NA,TRUE,"1672;NA;≥ 187 ns"
"174W",174,74,1919.7,NA,"187(25) ns","214.3(3)
247.6(3)",NA,TRUE,"1919.7;NA;187(25) ns"
"174W",174,74,2267.8,"8","158(3) ns","247.0(2)",NA,TRUE,"2267.8;8;158(3) ns"
"174W",174,74,3515.6,"12+","128(8) ns","306.8(2)
557.1(4)
685.6(5)
1327.7(4)
1879.3(5)",NA,TRUE,"3515.6;12+;128(8) ns"
"174IR",174,77,193,"(7+)","4.9(3) s",NA,NA,TRUE,"193;(7+);4.9(3) s"
"175TM",175,69,440,"7/2","319(35) ns","87.4(4)
311.0(2)
313.0(2)
440(1)","E1
E1
E1
M2",TRUE,"440;7/2;319(35) ns"
"175TM",175,69,946.7,"15/2","44.4(21) ns","5.2?
163.8(1)
300.6(1)","M1
E2",TRUE,"946.7;15/2;44.4(21) ns"
"175TM",175,69,1517.7,"23/2+","21(14) μs","108.3(1)
321.7(2)
513(1)","E1",TRUE,"1517.7;23/2+;21(14) μs"
"175YB",175,70,514.866,"1/2","68.2(3) ms","514.862(11)","(M3)",TRUE,"514.866;1/2;68.2(3) ms"
"175LU",175,71,353.48,"5/2","1.49(7) μs","353.3(2)","E1",TRUE,"353.48;5/2;1.49(7) μs"
"175LU",175,71,626.53,"(1/2+)","10.6(5) ns","111.9(4)
255.72(10)",NA,TRUE,"626.53;(1/2+);10.6(5) ns"
"175LU",175,71,1392.2,"(19/2+)","984(30) μs","368
592
797",NA,TRUE,"1392.2;(19/2+);984(30) μs"
"175HF",175,72,125.89,"1/2","53.7(15) μs","125.9(2)",NA,TRUE,"125.89;1/2;53.7(15) μs"
"175HF",175,72,1433.41,"(19/2)+","1.10(8) μs","357.40(20)
536.42(19)
614.8(3)
722.23(3)
867.16(8)","E1
M1
E2",TRUE,"1433.41;(19/2)+;1.10(8) μs"
"175HF",175,72,3015.6,"(35/2)","1.21(15) μs","74.5(8)
82.7(4)
381.3(4)",NA,TRUE,"3015.6;(35/2);1.21(15) μs"
"175HF",175,72,4636.2,"(45/2+)","2.8 μs","131
291
479",NA,TRUE,"4636.2;(45/2+);2.8 μs"
"175TA",175,73,131.41,"(9/2)","222(8) ns","131.6(2)",NA,TRUE,"131.41;(9/2);222(8) ns"
"175TA",175,73,339.2,"(1/2+)","0.17(2) μs","121.16
270.25","(E1)
E1",TRUE,"339.2;(1/2+);0.17(2) μs"
"175TA",175,73,1567.6,"(21/2)","1950(150) ns","216.8(2)
473.8(2)
709.6","(M1)",TRUE,"1567.6;(21/2);1950(150) ns"
"175W",175,74,104.03,"(5/2)","45(12) ns",NA,NA,TRUE,"104.03;(5/2);45(12) ns"
"175W",175,74,234.96,"(7/2+)","216(6) ns","38.69(10)
130.92(10)
145.74(12)","E1",TRUE,"234.96;(7/2+);216(6) ns"
"175RE",175,75,1793.8,"(19/2)","~ 27.7 ns","179.5
428.7
684.4
693.7",NA,TRUE,"1793.8;(19/2);~ 27.7 ns"
"175OS",175,76,105.7,"(7/2+)","10(2) ns","105.7(2)","(E1)",TRUE,"105.7;(7/2+);10(2) ns"
"175HG",175,80,494,"(13/2+)","0.34(3) μs","414","M2",TRUE,"494;(13/2+);0.34(3) μs"
"176YB",176,70,1049.8,"8","11.4(3) s","95.92(9)","E1",TRUE,"1049.8;8;11.4(3) s"
"176LU",176,71,122.845,"1","3.664(19) h",NA,NA,TRUE,"122.845;1;3.664(19) h"
"176LU",176,71,1514.5,"12+","312(69) ns","162.4
200.3
355.0
382.3
396.0
454.2
617.0
658.0
687.1
1126.5","(E2)
M1
(E2)",TRUE,"1514.5;12+;312(69) ns"
"176LU",176,71,1587.5,"(14+)","40(3) μs","73.0
190.0","(E2)",TRUE,"1587.5;(14+);40(3) μs"
"176HF",176,72,1333.07,"6+","9.6(3) μs","736.20(7)
1043.0(1)","E2
E2",TRUE,"1333.07;6+;9.6(3) μs"
"176HF",176,72,1559.31,"8","9.9(2) μs","53.49(7)
226.25(6)","(E1)
M2",TRUE,"1559.31;8;9.9(2) μs"
"176HF",176,72,2865.8,"14","401(6) μs","38.7
227.9
302.2","(M1)
(E2)
(E2)",TRUE,"2865.8;14;401(6) μs"
"176HF",176,72,4376.6,"19+","34 ns","529.1
836.5","(M1)",TRUE,"4376.6;19+;34 ns"
"176HF",176,72,4863.5,"22","45(13) μs","37
97.1","E2",TRUE,"4863.5;22;45(13) μs"
"176TA",176,73,100.2,"(0+)","30.5(10) ns","100.2","E1",TRUE,"100.2;(0+);30.5(10) ns"
"176TA",176,73,103,"(+)","1.1(1) ms","33.5","E1",TRUE,"103;(+);1.1(1) ms"
"176W",176,74,3747,"14+","41(1) ns","445.0(1)
490.9(2)
518.6(3)
714.1(1)
884.5(2)
916.8(3)
945.0(2)",NA,TRUE,"3747;14+;41(1) ns"
"176W",176,74,4894.7,NA,"~ 10 ns","315.8(1)",NA,TRUE,"4894.7;NA;~ 10 ns"
"177YB",177,70,331.5,"1/2","6.41(2) s","227.0(2)","M3",TRUE,"331.5;1/2;6.41(2) s"
"177LU",177,71,150.3967,"9/2","130(3) ns","150.399(1)","E1",TRUE,"150.3967;9/2;130(3) ns"
"177LU",177,71,569.7068,"1/2+","155(7) μs","111.715(1)
569.680(9)","E2",TRUE,"569.7068;1/2+;155(7) μs"
"177LU",177,71,761.7001,"5/2","32.8(24) ns","52.085 (2)
188.086 (1)
209.610 (1)
303.751 (4)
761.708 (5)","E1

E1",TRUE,"761.7001;5/2;32.8(24) ns"
"177LU",177,71,970.175,"23/2","160.44(6) d","115.8682 (23)","E3",TRUE,"970.175;23/2;160.44(6) d"
"177LU",177,71,1356.878,"15/2+","11.1(10) ns","502.54(6)
720.721(18)
916.25(16)
1067.0
1088.129(10)","M1
M1
M1

(E2)",TRUE,"1356.878;15/2+;11.1(10) ns"
"177LU",177,71,2771.6,"33/2+","625(62) ns","542.6
586.5
864.4","M1
E1
E2",TRUE,"2771.6;33/2+;625(62) ns"
"177LU",177,71,3530.3,"39/2","> 6.9 μs","226.7
402.2
618.7
758.8","M1
M2
E2
E3",TRUE,"3530.3;39/2;> 6.9 μs"
"177HF",177,72,1315.4504,"23/2+","1.09(5) s","14.16
55.15(2)
228.4838(6)","E1+M2
E2",TRUE,"1315.4504;23/2+;1.09(5) s"
"177HF",177,72,1342.38,"(19/2)","55.9(12) μs","82.1?
324.6?
548.0
751.1?","M1+E2",TRUE,"1342.38;(19/2);55.9(12) μs"
"177HF",177,72,2740.02,"37/2","51.4(5) min *","214","E3",TRUE,"2740.02;37/2;51.4(5) min *"
"177TA",177,73,70.59,"5/2+","70.2(19) ns","70.5","M1+E2",TRUE,"70.59;5/2+;70.2(19) ns"
"177TA",177,73,73.36,"9/2","410(7) ns","73.3","E1",TRUE,"73.36;9/2;410(7) ns"
"177TA",177,73,186.15,"5/2","3.62(10) μs","13.9?
115.6
186.1","E1
E1",TRUE,"186.15;5/2;3.62(10) μs"
"177TA",177,73,487.62,"1/2+","26(3) ns","115.05(5)
271.02(9)
417.16(5)","E1
E1
E2",TRUE,"487.62;1/2+;26(3) ns"
"177TA",177,73,1355.01,"21/2","5.31(25) μs","53
311.3
549.9","M1+E2
M1+E2
E2",TRUE,"1355.01;21/2;5.31(25) μs"
"177TA",177,73,2826.46,"31/2+","23(4) ns","155.2
244?
257
296.5
502
552
555.3
789.3","M1(+E2)
M1(+E2)
E2",TRUE,"2826.46;31/2+;23(4) ns"
"177TA",177,73,2852.7,"33/2","46(4) ns","26.2","E1",TRUE,"2852.7;33/2;46(4) ns"
"177TA",177,73,4656.3,"49/2","133(4) μs","86.1","E2",TRUE,"4656.3;49/2;133(4) μs"
"177W",177,74,101.17,"5/2","38(8) ns","6?
22?
101.2(1)",NA,TRUE,"101.17;5/2;38(8) ns"
"177W",177,74,185.96,"7/2+","13(3) ns","50
84.8(1)","E1",TRUE,"185.96;7/2+;13(3) ns"
"177RE",177,75,84.71,"5/2+","50(10) μs","84.7(1)",NA,TRUE,"84.71;5/2+;50(10) μs"
"177OS",177,76,152.3,"5/2","40(3) ns","61.7
152.3?","M1(+E2)",TRUE,"152.3;5/2;40(3) ns"
"177OS",177,76,300.6,"7/2+","46.3(3) ns","60.2
148.3","E1
E1",TRUE,"300.6;7/2+;46.3(3) ns"
"177PT",177,78,147.4,"1/2","2.2(3) μs","147.4(5)",NA,TRUE,"147.4;1/2;2.2(3) μs"
"177HG",177,80,323,"(13/2+)","1.50(15) μs","246","M2",TRUE,"323;(13/2+);1.50(15) μs"
"177TL",177,81,807,"(11/2)","230(40) μs",NA,NA,TRUE,"807;(11/2);230(40) μs"
"178LU",178,71,123.8,"(9)","23.1(3) min",NA,NA,TRUE,"123.8;(9);23.1(3) min"
"178HF",178,72,1147.416,"8","4.0(2) s","88.8667(10)","E1",TRUE,"1147.416;8;4.0(2) s"
"178HF",178,72,1553.997,"6+","77.5(7) ns","40(1)
169.537(2)
406.579(6)
921.827(13)
1247.391(18)","E2
(M2)
E2
(E2)",TRUE,"1553.997;6+;77.5(7) ns"
"178HF",178,72,2446.09,"16+","31(1) y","12.7(2)
309.50(15)
587.0(1)","M4(+E5)
E5",TRUE,"2446.09;16+;31(1) y"
"178W",178,74,3654.93,"15+","30(1) ns","61.4(1)","(E1)",TRUE,"3654.93;15+;30(1) ns"
"178W",178,74,5313.7,"21","64(2) ns","43.8(1)
251.0(5)","(M1)",TRUE,"5313.7;21;64(2) ns"
"178W",178,74,6572.7,"25+","220(10) ns","182.9(1)
946(1)","(E1)
(E3)",TRUE,"6572.7;25+;220(10) ns"
"179LU",179,71,592.4,"1/2+","3.1(9) ms","592.1(4)","M3",TRUE,"592.4;1/2+;3.1(9) ms"
"179HF",179,72,375.0352,"1/2","18.67(4) s","160.696(2)
~ 375","M3",TRUE,"375.0352;1/2;18.67(4) s"
"179HF",179,72,1105.74,"25/2","25.05(25) d","21.01(12)
257.37(15)","M2
E3",TRUE,"1105.74;25/2;25.05(25) d"
"179HF",179,72,2549.6,"(33/2)","30(10) ns","847.1",NA,TRUE,"2549.6;(33/2);30(10) ns"
"179HF",179,72,3439.2,"(39/2)","12(6) ns","171","(M1, E2)",TRUE,"3439.2;(39/2);12(6) ns"
"179HF",179,72,3775.2,"(43/2+)","15(5) μs","336","(M2)",TRUE,"3775.2;(43/2+);15(5) μs"
"179TA",179,73,30.7,"9/2","1.42(8) μs","30.7(1)","E1",TRUE,"30.7;9/2;1.42(8) μs"
"179TA",179,73,238.56,"5/2+","65(10) ns","238.56(9)","M1+E2",TRUE,"238.56;5/2+;65(10) ns"
"179TA",179,73,520.23,"(1/2)+","0.28(8) μs","281.69(16)","(E2)",TRUE,"520.23;(1/2)+;0.28(8) μs"
"179TA",179,73,627.98,"5/2","80(7) ns","100.50(9)
283.99(21)
389.32(21)","E1
(E1)",TRUE,"627.98;5/2;80(7) ns"
"179TA",179,73,1252.6,"(21/2","322(16) ns","232.4(2)
474.92(18)","M1(+E2)",TRUE,"1252.6;(21/2;322(16) ns"
"179TA",179,73,1317.2,"(25/2+)","9.0(2) ms","64.7(3)","M2",TRUE,"1317.2;(25/2+);9.0(2) ms"
"179TA",179,73,1328,"(23/2)","1.6(4) μs","75.3(3)","M1(+E2)",TRUE,"1328;(23/2);1.6(4) μs"
"179TA",179,73,2639.5,"(37/2+)","54.1(17) ms","108.8(3)","E2",TRUE,"2639.5;(37/2+);54.1(17) ms"
"179TA",179,73,2792.8,"(33/2","17(3) ns","232.0(8)
262.2(3)
573.45(23)
595?","M1",TRUE,"2792.8;(33/2;17(3) ns"
"179W",179,74,221.91,"1/2","6.40(7) min","101.6(5)
221.93(5)","M3",TRUE,"221.91;1/2;6.40(7) min"
"179W",179,74,1631.9,"(21/2+)","390(30) ns","99.5(2)
114.8(2)
206.7(2)
415.6(2)
508.6(2)
567.3(2)
671.1(2)
883.8(2)",NA,TRUE,"1631.9;(21/2+);390(30) ns"
"179W",179,74,3348.41,"(35/2)","750(80) ns","266.3(2)
316.4(2)
575.7(2)
609.8(2)
625.0(2)","E2",TRUE,"3348.41;(35/2);750(80) ns"
"179RE",179,75,65.35,"(5/2)","95(25) μs","65.35(9)","(E1)",TRUE,"65.35;(5/2);95(25) μs"
"179RE",179,75,1202.2,"(21/2)","~ 21 ns","295.9(5)",NA,TRUE,"1202.2;(21/2);~ 21 ns"
"179RE",179,75,5408,"(47/2,
49/2+)","0.466(15) ms","244.9(2)",NA,TRUE,"5408;(47/2,
49/2+);0.466(15) ms"
"179OS",179,76,145.41,"(7/2)","0.50 μs","45.2(1)","M1",TRUE,"145.41;(7/2);0.50 μs"
